iso,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000_2012_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018
ABW,10,18339,216,43,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABW,15,18339,140,41,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABW,20,18339,110,35,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABW,25,18339,42,28,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABW,30,18339,25,24,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABW,50,18339,17,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABW,75,18339,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,10,64482820,433200,126512,18,86,187,252,206,245,156,257,115,72,93,114,40,0,2,0,0,0,27
AFG,15,64482820,303397,107086,14,86,183,246,204,240,155,255,111,71,90,111,36,0,1,0,0,0,27
AFG,20,64482820,285048,105954,13,84,178,244,203,238,151,254,110,71,86,110,36,0,1,0,0,0,27
AFG,25,64482820,255487,72545,13,83,178,244,202,236,151,253,110,69,86,109,36,0,1,0,0,0,26
AFG,30,64482820,206276,71948,12,83,177,243,202,235,151,253,108,69,86,108,36,0,1,0,0,0,25
AFG,50,64482820,148768,46335,8,75,135,200,157,168,109,199,87,46,61,91,30,0,1,0,0,0,19
AFG,75,64482820,75639,18308,4,44,60,96,58,64,40,78,27,20,24,42,14,0,0,0,0,0,10
AGO,10,124860517,96015105,97385389,61080,119681,72857,68731,98076,133720,107513,217628,157781,271387,197839,287555,252589,263046,295505,225985,330004,434358,365977
AGO,15,124860517,82861348,82268042,57306,117536,71135,65223,92444,125168,101041,201960,146969,249170,191389,263366,239647,247590,283793,217494,318118,411408,348729
AGO,20,124860517,65995205,64986455,49895,109214,65845,57596,80334,106393,86825,167175,121298,197026,173353,212336,203500,202300,245139,186845,269184,337020,287887
AGO,25,124860517,63391087,62680572,48652,107878,64980,56642,78657,103929,84935,162723,117334,189980,170375,206118,198663,195180,238584,181588,261242,325201,278534
AGO,30,124860517,55341830,53896051,44002,101322,61089,52510,71315,93515,76998,145409,103653,166109,159944,183111,180921,169001,212873,161864,229915,280727,242788
AGO,50,124860517,31944618,30007141,31189,76901,43097,35617,43445,53113,48274,88885,56040,92817,111897,100659,113137,99371,135711,102600,137185,159540,146396
AGO,75,124860517,3788560,3340623,11196,33948,12853,10519,7283,8740,4945,26895,9840,17263,18641,13073,19879,24430,30752,24301,33411,31671,37075
AIA,10,8518,2895,1738,1,4,0,2,10,4,2,9,12,2,0,1,2,2,0,0,0,2,0
AIA,15,8518,2739,1706,1,4,0,1,10,4,2,9,11,2,0,1,2,2,0,0,0,1,0
AIA,20,8518,2572,1624,1,4,0,1,9,4,1,9,11,2,0,1,2,2,0,0,0,1,0
AIA,25,8518,2357,1511,1,4,0,1,9,4,1,9,11,2,0,1,2,1,0,0,0,1,0
AIA,30,8518,2126,1391,1,4,0,1,9,4,1,9,10,2,0,1,2,1,0,0,0,1,0
AIA,50,8518,1372,686,1,2,0,0,5,2,0,5,7,1,0,1,1,1,0,0,0,1,0
AIA,75,8518,507,205,0,1,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0
